"url";"name";"type";"address";"gps"
"http://www.restopolitan.com/en/restaurant/paris-18eme-464/la-rughetta-303360.html";"La Rughetta";"Italian";"41, rue Lepic, 75018 ,Paris";"48.8865438/2.3337108"
"http://www.restopolitan.com/en/restaurant/paris-2eme-448/le-biz-300253.html";"Le Biz";"Bistrot Gourmand";"18, rue Favart, 75002 ,Paris";"48.8714039/2.3383072"
"http://www.restopolitan.com/en/restaurant/paris-5eme-451/savannah-cafe-303965.html";"Savannah Café";"French";"27, rue Descartes, 75005 ,Paris";"48.8459367/2.3491918"
"http://www.restopolitan.com/en/restaurant/paris-11eme-457/l-echoppe-de-paris-303349.html";"L’Echoppe de Paris";"French";"16, rue Léon Frot, 75011 ,Paris";"48.8539958/2.3879544"
"http://www.restopolitan.com/en/restaurant/paris-6eme-452/steaking-304068.html";"Steaking";"Bistrot Gourmand";"3, rue du Sabot, 75006 ,Paris";"48.8529183/2.331483"
"http://www.restopolitan.com/en/restaurant/paris-2eme-448/bistrot-favart-304326.html";"Bistrot Favart";"French";"1, rue Favart, 75002 ,Paris";"48.8704805/2.337788"
"http://www.restopolitan.com/en/restaurant/paris-11eme-457/jeroboam-303870.html";"Jéroboam";"French";"10, rue Saint Sébastien, 75011 ,Paris";"48.8608774/2.3683853"
"http://www.restopolitan.com/en/restaurant/paris-1er-447/tutti-amici-304282.html";"Tutti Amici";"Italian";"47, rue Saint-Honoré, 75001 ,Paris";"48.8608938/2.3452995"
"http://www.restopolitan.com/en/restaurant/paris-16eme-462/la-table-du-baltimore-7940.html";"La Table du Baltimore";"Gastronomic";"88 bis, avenue Kléber, 75016 ,Paris";NA
"http://www.restopolitan.com/en/restaurant/paris-18eme-464/la-table-du-kube-304377.html";"La Table du Kube";"Gastronomic";"1-5, passage Ruelle, 75018 ,Paris";"48.8866812/2.3595672"
"http://www.restopolitan.com/en/restaurant/suresnes-380/le-salon-sur-l-eau-8515.html";"Le Salon sur l'Eau";"French";"5, quai Marcel Dassault , 92150 Suresnes";"48.8610439/2.2250104"
"http://www.restopolitan.com/en/restaurant/paris-11eme-457/el-mida-303833.html";"El Mida";"Snack";"46, boulevard du Temple, 75011 ,Paris";NA
"http://www.restopolitan.com/en/restaurant/paris-1er-447/le-fiston-302877.html";"Le Fiston";"Italian";"20 rue des halles, 75001 ,Paris";"48.860052/2.3466205"
"http://www.restopolitan.com/en/restaurant/paris-20eme-466/la-bolee-belgrand-303321.html";"La Bolée Belgrand";"Bistrot Gourmand";"19, rue Belgrand, 75020 ,Paris";"48.8647026/2.405926"
"http://www.restopolitan.com/en/restaurant/paris-15eme-461/l-insouciant-300809.html";"L'Insouciant";"Bistrot Gourmand";"77, rue de Brancion, 75015 ,Paris";NA
"http://www.restopolitan.com/en/restaurant/voisins-le-bretonneux-1612/le-carre-voisins-le-bretonneux-303858.html";"Le Carré - Voisins-le-Bretonneux";"Gastronomic";"7-9, place des Douves, 78960 Voisins Le Bretonneux";"48.7592072/2.0500819"
"http://www.restopolitan.com/en/restaurant/paris-9eme-455/il-passaggio-304183.html";"Il Passaggio";"Italian";"31 Bis, rue du Faubourg Montmartre, 75009 ,Paris";"48.8747545/2.3413778"
"http://www.restopolitan.com/en/restaurant/bagneux-386/le-ble-en-scene-bagneux-301635.html";"Le Blé en Scène - Bagneux";"French";"10, avenue Henri Ravera, 92220 Bagneux";"48.7967766/2.3017677"
"http://www.restopolitan.com/en/restaurant/paris-11eme-457/cafe-fusain-304040.html";"Café Fusain";"French";"50, avenue Parmentier, 75011 ,Paris";"48.8621841/2.3769857"
"http://www.restopolitan.com/en/restaurant/paris-1er-447/la-gioia-301227.html";"La Gioia";"Gastronomic";"188 bis, rue de Rivoli, 75001 ,Paris";"48.862291/2.3365898"
"http://www.restopolitan.com/en/restaurant/paris-18eme-464/shenaz-300245.html";"Shenaz";"Indian";"11 Rue Houdon, 75018 ,Paris";"48.883076/2.338347"
"http://www.restopolitan.com/en/restaurant/tremblay-en-france-1063/le-cenacle-304281.html";"Le Cénacle";"Gastronomic";"1, rue de la Mairie-Vieux Pays, 93290 Tremblay En France";NA
"http://www.restopolitan.com/en/restaurant/paris-14eme-460/oggi-304448.html";"OGGI";"Italian";"15, rue d'Odessa, 75014 ,Paris";"48.8421324/2.324676"
"http://www.restopolitan.com/en/restaurant/paris-9eme-455/dokkun-thai-303426.html";"Dokkun Thai";"Thai";"44, rue Lamartine, 75009 ,Paris";"48.8766116/2.3409161"
"http://www.restopolitan.com/en/restaurant/paris-8eme-454/l-astor-saint-honore-300173.html";"L'Astor Saint-Honoré";"Gastronomic";"11, rue d'Astorg, 75008 ,Paris";"48.8728414/2.3193943"
"http://www.restopolitan.com/en/restaurant/paris-12eme-458/le-swann-304623.html";"Le Swann";"Bistrot Gourmand";"271, avenue Daumesnil, 75012 ,Paris";"48.8361133/2.4056234"
"http://www.restopolitan.com/en/restaurant/paris-18eme-464/le-preum-s-300534.html";"Le Preum's";"Bistrot Gourmand";"70, rue du Mont Cenis, 75018 ,Paris";"48.8917251/2.344001"
"http://www.restopolitan.com/en/restaurant/paris-2eme-448/zenzoo-foodi-304003.html";"ZenZoo Foodi";"Thai";"2, rue du Nil, 75002 ,Paris";"48.8678903/2.3482531"
