"Name";"Region";"Type";"gps"
"Sevran Livry";"SEVRAN";"rer";"48,935489860864,2,53440609425408"
"Simplon";"PARIS-18EME";"metro";"48,8946326888974,2,34709106488045"
"Solférino";"PARIS-07EME";"metro";"48,8585512442859,2,32268062216292"
"Saint-Maur Créteil";"SAINT-MAUR-DES-FOSSES";"rer";"48,8062801804394,2,47211272031285"
"Saint-Rémy-lès-Chevreuse";"SAINT-REMY-LES-CHEVREUSE";"rer";"48,7030674560445,2,07107449147842"
"Stalingrad";"PARIS-19EME";"metro";"48,8843047899152,2,36708501453572"
"Strasbourg-Saint-Denis";"PARIS-02EME";"metro";"48,8691997061607,2,35409710592864"
"Sucy Bonneuil";"SUCY-EN-BRIE";"rer";"48,7711274129549,2,50784465806546"
"Sully-Morland";"PARIS-04EME";"metro";"48,8510338403896,2,36186696356924"
"Ségur";"PARIS-15EME";"metro";"48,8467524550776,2,30782041849586"
"Sèvres-Babylone";"PARIS-07EME";"metro";"48,8512043552606,2,32587286292213"
"Sèvres-Lecourbe";"PARIS-15EME";"metro";"48,8451307700065,2,31018390371145"
"Temple";"PARIS-03EME";"metro";"48,8663687823143,2,36108072227889"
"Ternes";"PARIS-17EME";"metro";"48,8780661989514,2,29803071310238"
"Tolbiac";"PARIS-13EME";"metro";"48,8265068985468,2,35724192785828"
"Torcy";"TORCY";"rer";"48,8395400090998,2,65576579751211"
"Trinité-d'Estienne d'Orves";"PARIS-09EME";"metro";"48,87650879316,2,33305807671909"
"Trocadéro";"PARIS-16EME";"metro";"48,8629708361397,2,28701984351505"
"Tuileries";"PARIS-01ER";"metro";"48,8644970966975,2,33031418026416"
"Val de Fontenay";"FONTENAY-SOUS-BOIS";"rer";"48,8533286104541,2,48744322581996"
"Vaneau";"PARIS-07EME";"metro";"48,848871662506,2,32193434751113"
"Varenne";"PARIS-07EME";"metro";"48,8575166012889,2,31553023354222"
"Vaugirard (Adolphe Chérioux)";"PARIS-15EME";"metro";"48,8395680331036,2,30098263992498"
"Vavin";"PARIS-06EME";"metro";"48,8420036541946,2,32900321886739"
"Vert-Galant";"VILLEPINTE";"rer";"48,9445537914919,2,56669334472848"
"Victor Hugo";"PARIS-16EME";"metro";"48,8696716618644,2,28526726839526"
"Villejuif-Louis Aragon";"VILLEJUIF";"metro";"48,7870020157205,2,36697471484243"
"Villejuif-Léo Lagrange";"VILLEJUIF";"metro";"48,8041740664156,2,36394352657996"
"Villejuif-Paul Vaillant Couturier (Hôpital Paul Brousse)";"VILLEJUIF";"metro";"48,7959447270881,2,3679661373898"
"Villeparisis";"VILLEPARISIS";"rer";"48,9533769290525,2,60230661461914"
"Villepinte";"VILLEPINTE";"rer";"48,9627184386276,2,51220888008433"
"Villiers";"PARIS-17EME";"metro";"48,8810543983371,2,31527055050207"
"Vincennes";"VINCENNES";"rer";"48,8472269351,2,43106661912721"
"Volontaires";"PARIS-15EME";"metro";"48,8416970273909,2,30804114557479"
"Voltaire (Léon Blum)";"PARIS-11EME";"metro";"48,8578758428685,2,37988391957515"
"Wagram";"PARIS-17EME";"metro";"48,8838739610152,2,30465144209881"
"Ranelagh";"PARIS-16EME";"metro";"48,8553920307943,2,26997975035107"
"Raspail";"PARIS-14EME";"metro";"48,8389637143162,2,33058309684112"
"Rennes";"PARIS-06EME";"metro";"48,8480544328681,2,32808305123987"
"Reuilly-Diderot";"PARIS-12EME";"metro";"48,8472381327386,2,38611818658013"
"Richard-Lenoir";"PARIS-11EME";"metro";"48,8608927535125,2,3720977804711"
"Richelieu-Drouot";"PARIS-09EME";"metro";"48,8720139171377,2,33908809977413"
"Riquet";"PARIS-19EME";"metro";"48,8881235581407,2,37448742568144"
"Robespierre";"MONTREUIL";"metro";"48,85556400483,2,42355673885079"
"Robinson";"SCEAUX";"rer";"48,7803728780303,2,28117460658218"
"Aeroport Charles de Gaulle 1";"ROISSY-EN-FRANCE";"rer";"49,0109621281008,2,56323130621894"
