OBJECTID;LOCALISATION;geo_shape;geo_point_2d
30;1226 - AP03;"{""type"": ""Point"", ""coordinates"": [2.442608616634172, 48.83953140694071]}";48.8395314069, 2.44260861663
67;1805 - AP01;"{""type"": ""Point"", ""coordinates"": [2.365925774378507, 48.887846183054904]}";48.8878461831, 2.36592577438
53;1415 - AP02;"{""type"": ""Point"", ""coordinates"": [2.331389658726258, 48.83406823377207]}";48.8340682338, 2.33138965873
20;1014 - AP04;"{""type"": ""Point"", ""coordinates"": [2.3640713987204816, 48.86720849845156]}";48.8672084985, 2.36407139872
19;1013 - AP01;"{""type"": ""Point"", ""coordinates"": [2.363119692030033, 48.86818044717279]}";48.8681804472, 2.36311969203
34;0710 - AP01;"{""type"": ""Point"", ""coordinates"": [2.3053390028329774, 48.862900120407666]}";48.8629001204, 2.30533900283
43;1013 - AP04;"{""type"": ""Point"", ""coordinates"": [2.362821296797209, 48.86796144695315]}";48.867961447, 2.3628212968
61;1226 - AP01;"{""type"": ""Point"", ""coordinates"": [2.441586935936094, 48.83697134042397]}";48.8369713404, 2.44158693594
9;0711 - AP02;"{""type"": ""Point"", ""coordinates"": [2.3224745401738653, 48.861899868811186]}";48.8618998688, 2.32247454017
6;0511 - AP01;"{""type"": ""Point"", ""coordinates"": [2.350436387443453, 48.84760742911015]}";48.8476074291, 2.35043638744
41;1013 - AP02;"{""type"": ""Point"", ""coordinates"": [2.3635951578781818, 48.867893094394624]}";48.8678930944, 2.36359515788
59;1615 - AP04;"{""type"": ""Point"", ""coordinates"": [2.2643212045028203, 48.8783132450332]}";48.878313245, 2.2643212045
70;1918 - AP03;"{""type"": ""Point"", ""coordinates"": [2.3810824833999704, 48.87804267383427]}";48.8780426738, 2.3810824834
73;1520 - AP02;"{""type"": ""Point"", ""coordinates"": [2.3000779216026683, 48.831657424009585]}";48.831657424, 2.3000779216
17;0810 - AP04;"{""type"": ""Point"", ""coordinates"": [2.3084824268542103, 48.878873476949224]}";48.8788734769, 2.30848242685
60;1516 - AP08;"{""type"": ""Point"", ""coordinates"": [2.266338605834545, 48.87697239471559]}";48.8769723947, 2.26633860583
5;0511 - AP02;"{""type"": ""Point"", ""coordinates"": [2.3501130094372877, 48.84777477394918]}";48.8477747739, 2.35011300944
45;1014 - AP02;"{""type"": ""Point"", ""coordinates"": [2.364914767379911, 48.86711098129395]}";48.8671109813, 2.36491476738
27;1330 - AP02;"{""type"": ""Point"", ""coordinates"": [2.3478159434784818, 48.81926593209989]}";48.8192659321, 2.34781594348
47;1111 - AP01;"{""type"": ""Point"", ""coordinates"": [2.371136216498079, 48.85735841230913]}";48.8573584123, 2.3711362165
56;1510 - AP02;"{""type"": ""Point"", ""coordinates"": [2.319291585555607, 48.8407371384975]}";48.8407371385, 2.31929158556
46;1014 - AP03;"{""type"": ""Point"", ""coordinates"": [2.36460823294602, 48.8668919430356]}";48.866891943, 2.36460823295
65;1319 - AP02;"{""type"": ""Point"", ""coordinates"": [2.3608598507800513, 48.82727221758397]}";48.8272722176, 2.36085985078
18;1006 - AP02;"{""type"": ""Point"", ""coordinates"": [2.3609052372359587, 48.87478820206863]}";48.8747882021, 2.36090523724
23;1220 - AP01;"{""type"": ""Point"", ""coordinates"": [2.3826465216476067, 48.8343756113738]}";48.8343756114, 2.38264652165
32;1320 - AP01;"{""type"": ""Point"", ""coordinates"": [2.3611765935515243, 48.82829658402432]}";48.828296584, 2.36117659355
62;1226 - AP04;"{""type"": ""Point"", ""coordinates"": [2.4388056514341097, 48.83962099227284]}";48.8396209923, 2.43880565143
14;0810 - AP01;"{""type"": ""Point"", ""coordinates"": [2.3082504866313833, 48.87887213695342]}";48.878872137, 2.30825048663
36;0809 - AP01;"{""type"": ""Point"", ""coordinates"": [2.3092295517047874, 48.880225196239195]}";48.8802251962, 2.3092295517
69;1917 - AP02;"{""type"": ""Point"", ""coordinates"": [2.3822838703167304, 48.88217339558326]}";48.8821733956, 2.38228387032
4;0507 - AP01;"{""type"": ""Point"", ""coordinates"": [2.3592279488358776, 48.848544063392126]}";48.8485440634, 2.35922794884
15;0810 - AP02;"{""type"": ""Point"", ""coordinates"": [2.308338046738632, 48.87902026727841]}";48.8790202673, 2.30833804674
