Ligne;Station;coord_X;coord_Y;Actif [O|N];Tarif [Gratuit| Payant];Accès Passe Navigo ou Ticket T+;Accès Bouton poussoir;En zone contrôlée;Hors zone contrôlée station;Hors zone contrôlée voie publique;Accessible PMR [oui|non];Localisation;coord_geo
A;Val d'Europe;48.85549704826123;2.7736084332189748;oui;gratuit;oui;;;oui;;oui;En face du point de vente - information, à proximité de la ligne de valideurs;48.8554970483, 2.77360843322
A;Nation;48.8484803444062;2.39676520957729;oui;gratuit;;oui;oui;;;oui;En allant des quais du RER vers les quais de la ligne 1, 2 et 6, en bas des escaliers mécaniques;48.8484803444, 2.39676520958
B;Saint-Rémy-Lès-Chevreuse;48.70286868424979;2.070600214521146;oui;gratuit;oui;;;;oui;oui;A l'extérieur de la gare, dans le prolongement de la gare;48.7028686842, 2.07060021452
13;Asnières-Gennevilliers – Les Courtilles;48.93074305254229;2.283951123396349;oui;gratuit;;oui;oui;;;oui;A proximité du point vente - information;48.9307430525, 2.2839511234
B;Cité Universitaire;48.8205877;2.3390071;oui;gratuit;;oui;;oui;;non;A proximité du point vente - information;48.8205877, 2.3390071
A;Noisy-le-Grand - Mont d'Est;48.84078;2.54804;oui;gratuit;;oui;oui;;;oui;A proximité du point vente - information;48.84078, 2.54804
14;Olympiades;48.8269104;2.3661972;oui;gratuit;;oui;;oui;;oui;A proximité du point vente - information;48.8269104, 2.3661972
A;Auber;48.8731477;2.3295277;oui;gratuit;;oui;oui;;;oui;A proximité du point vente - information;48.8731477, 2.3295277
1;Charles de Gaulle - Étoile;48.87445277569274;2.2963258094953476;oui;gratuit;;oui;oui;;;non;En entrant par la sortie 3 avenue Hoche, dans le couloir menant vers la sortie 2 avenue de Friedland;48.8744527757, 2.2963258095
B;Massy - Palaiseau;48.725109;2.2606361;oui;gratuit;oui;;;;oui;oui;A l'extérieur du bâtiment gare, à proximité du point de vente - information, côté bus;48.725109, 2.2606361
A;Rueil-Malmaison;48.88722206053287;2.170623204930391;oui;gratuit;;oui;oui;;;oui;A proximité de la ligne de valideurs, en direction des sorties;48.8872220605, 2.17062320493
A;Châtelet;48.8622381;2.345496;oui;gratuit;oui;;oui;;;oui;En partant de la zone RER vers la place Carrée, à proximité des escaliers mécaniques;48.8622381, 2.345496
A;Gare de Lyon;48.84436;2.37291;oui;gratuit;;oui;oui;;;oui;A proximité du palier haut de l'escalier mécanique menant vers la tête de quai direction Paris;48.84436, 2.37291
A;Saint-Germain-en-Laye;48.8978899;2.0947665;oui;gratuit;;oui;oui;;;oui;A proximité du palier haut de l'ascenseur desservant les voies 2 et 4;48.8978899, 2.0947665
10;Cluny – La Sorbonne;48.85079575570429;2.3450308883652258;oui;payant;;;;;;oui;Sortie n°2 à boulevard St-Germain, à proximité du point vente - information;48.8507957557, 2.34503088837
A;Châtelet;48.858291026403705;2.3483281842513337;non;gratuit;;;;;;;;48.8582910264, 2.34832818425
7;Villejuif – Louis Aragon;48.78730304269838;2.3674101521293744;oui;gratuit;oui;;;;oui;oui;Dans la gare routière, prendre sortie 2 Maxime Gorki;48.7873030427, 2.36741015213
A;Charles de Gaulle - Étoile;48.87346419088715;2.2963810880084012;oui;gratuit;;oui;oui;;;oui;A proximité du point vente - information situé sortie avenue des Champs-Elysées, après la ligne de valideurs;48.8734641909, 2.29638108801
B;Denfert-Rochereau;48.8332144;2.3333365;oui;gratuit;;oui;oui;;;non;Sur le quai ligne B, en direction de Saint-Rémy-Lès-Chevreuse;48.8332144, 2.3333365
A;La Défense (Grande Arche);48.891826754836515;2.237992043215619;oui;gratuit;;oui;;oui;;oui;A proximité de la zone SNCF, à l'opposé de l'entrée du tramway T2;48.8918267548, 2.23799204322
B;Laplace;48.80784404743202;2.3330228065226883;oui;gratuit;oui;;;;oui;oui;A l'extérieur de la gare, à proximité du point vente - information;48.8078440474, 2.33302280652
A;Nogent-sur-Marne;48.83510877417377;2.4716839161590887;oui;gratuit;;oui;;oui;;oui;A proximité du point vente - information;48.8351087742, 2.47168391616
14;Gare de Lyon;48.84391523960347;2.3728897698814633;non;gratuit;oui;;;oui;;oui;CR230;48.8439152396, 2.37288976988
6;Trocadéro;48.86419500504601;2.2878473386642373;oui;gratuit;;;;;;oui;Sortie 1 avenue du Président Wilson;48.864195005, 2.28784733866
B;Bourg-la-Reine;48.78005093776892;2.3121626259597874;oui;gratuit;;oui;oui;;;oui;En milieu de quai central, direction Paris;48.7800509378, 2.31216262596
13;Les Agnettes;48.92317699378374;2.28605910172606;oui;gratuit;;oui;;oui;;oui;A proximité du point vente - information;48.9231769938, 2.28605910173
A;Marne-la-Vallée – Chessy;48.86849697024026;2.7822597305629526;oui;gratuit;;oui;oui;;;oui;Au milieu du quai central;48.8684969702, 2.78225973056
14;Madeleine;48.869956563045214;2.3253476474582184;non;gratuit;oui;;;oui;;oui;CR231- En bas de la trémie;48.869956563, 2.32534764746
A;Noisy-le-Grand - Mont d'Est;48.84082;2.55154;oui;gratuit;;oui;;oui;;oui;Accès par la gare routière;48.84082, 2.55154
B;Gif-sur-Yvette;48.6981859;2.1367431;oui;gratuit;;oui;;oui;;oui;Sur le quai direction Paris;48.6981859, 2.1367431
B;Gentilly; 48.8153713;2.3408362;oui;gratuit;;oui;oui;;;oui;Sur le quai direction Paris;48.8153713, 2.3408362
A;Châtelet;48.858857284381365;2.347769856742684;non;gratuit;;;;;;;;48.8588572844, 2.34776985674
A;Nanterre – Préfecture;48.8971999.; 2.222709;oui;gratuit;;oui;;oui;;oui;A proximité du point vente - information;
A;Charles de Gaulle - Étoile;48.8740658;2.2951493;oui;gratuit;;oui;;oui;;non;Sortie avenue Carnot, après la ligne de valideurs en venant de l'extérieur de la gare;48.8740658, 2.2951493
14;Bibliothèque François Mitterrand;48.82978526345046;2.3776037993133134;oui;gratuit;;oui;;oui;;oui;A proximité du point vente - information;48.8297852635, 2.37760379931
5;Bobigny – Pablo Picasso;48.90717445316718;2.4492666955791327;oui;gratuit;;oui;;oui;;non;A proximité du point vente - information;48.9071744532, 2.44926669558
B;Antony;48.75482748503882;2.3008650705983067;non;gratuit;oui;;oui;;;oui;Salle d'échange - coté banlieue / guichet;48.754827485, 2.3008650706
A;Nanterre – Ville;48.8950462710121;2.1956095209931936;oui;gratuit;;oui;oui;;;oui;Sur le quai en direction de Paris;48.895046271, 2.19560952099
14;Pyramides;48.8656737;2.3344599;non;gratuit;oui;;;oui;;oui;A proximité du Comptoir d'Information;48.8656737, 2.3344599
B;Robinson;48.78036417660201;2.2816982237256243;oui;gratuit;;oui;oui;;;oui;Sur le quai 1;48.7803641766, 2.28169822373
14;Bercy;48.84019224440348;2.3794772572660587;non;gratuit;oui;;oui;;;oui;CR210;48.8401922444, 2.37947725727
14;Cour Saint-Emilion;48.83346;2.38607;non;gratuit;oui;;;oui;;oui;SA200;48.83346, 2.38607
A;Saint-Maur – Créteil;48.80641960896216;2.47204505094563;oui;gratuit;oui;;;;oui;oui;A l'extérieur de la gare, côté desserte bus;48.806419609, 2.47204505095
14;Saint-Lazare;48.87552856932788;2.324120111297863;oui;gratuit;;oui;;oui;;oui;A proximité du point vente - information;48.8755285693, 2.3241201113
A;Saint-Germain-en-Laye; 48.8979364;2.0948768;oui;payant;;;;oui;;oui;A proximité du palier haut de l'ascenseur desservant les voies 2 et 4;48.8979364, 2.0948768
