ID;Identifiant Autolib';Rue;Code postal;Ville;Coordonnées geo;Emplacement;Autolib';Tiers;Abri
75120-22;Paris/Harpignies/3;3 rue Harpignies;75020;Paris;48.8587455, 2.4101638;Voirie;4;1;0
75120-28;Paris/Gambetta/65;65 Avenue Gambetta;75020;Paris;48.8650994, 2.3963304;Voirie;4;1;0
75120-29;Paris/Pelleport/86;86 rue Pelleport;75020;Paris;48.8676044, 2.4021436;Voirie;4;0;0
75120-44;Paris/Mortier/15;15 boulevard Mortier;75020;Paris;48.8657, 2.408668;Voirie;4;0;0
91691-01;Yerres/Raymond Pointcarré/200;200 rue Raymond Pointcarré;91330;Yerres;48.72137, 2.499908;Voirie;6;1;0
91691-02;Yerres/Charles-de-Gaulle/1;1 rue Charles-de-Gaulle;91330;Yerres;48.716666, 2.488177;Voirie;6;1;0
91691-03;Yerres/Pierre Brossolette/92;92 rue Pierre Brossolette;91330;Yerres;48.7006549, 2.4828313;Voirie;7;0;0
92004-03;Asnières-sur-Seine/Normandie/22;22 rue de Normandie;92600;Asnières-sur-Seine;48.9059332, 2.2852074;Voirie;7;0;0
92004-04;Asnières-sur-Seine/Marne/44;44 avenue de la Marne;92600;Asnières-sur-Seine;48.9073637, 2.2830507;Voirie;5;0;0
92004-11;Asnières-sur-Seine/Bas/6;6 Rue des Bas;92600;Asnières-sur-Seine;48.9164, 2.295224;Voirie;6;0;1
92004-14;Asnières-sur-Seine/Benoît Malon/8;8 Rue Benoît Malon;92600;Asnières-sur-Seine;48.9094941, 2.2754817;Voirie;6;0;0
92004-15;Asnières-sur-Seine/Olympe de Gouge/1;1 rue Olympe de Gouge;92600;Asnières-sur-Seine;48.9179468, 2.3189865;Voirie;6;0;0
92007-01;Bagneux/Léon Blum/13;13 Rue Léon Blum;92220;Bagneux;48.7941792, 2.3017033;Voirie;6;0;0
92012-01;Boulogne-Billancourt/Édouard Vaillant/81;81 avenue Édouard Vaillant;92100;Boulogne-Billancourt;48.8344135, 2.2464756;Voirie;6;0;0
92012-12;Boulogne-Billancourt/Henri Martin/2;2 rue Henri Martin;92100;Boulogne-Billancourt;48.8365078, 2.2524132;Voirie;6;0;0
92012-34;Boulogne-Billancourt/Meudon/40;40 rue de Meudon;92100;Boulogne-Billancourt;48.8281027, 2.2422542;Voirie;6;0;0
92019-01;Châtenay-Malabry/Jean Jaurès/280;280 avenue Jean Jaurès;92290;Châtenay-Malabry;48.76739, 2.255521;Voirie;6;0;0
92019-02;Châtenay-Malabry/Sully Prudhomme/33;33 Avenue Sully Prudhomme;92290;Châtenay-Malabry;48.76587, 2.290613;Voirie;6;0;0
92020-02;Châtillon/République/140;140 Avenue de la République;92320;Châtillon;48.8064005, 2.2982685;Voirie;5;0;0
